number,text
33,"安全なパスワードを設定しても,パスワードが他人に漏れてしまえば意味がないため,パスワードの保管に関しても留意しなければならない。特に,他人に教えない,電子メール等でやりとりしない,ディスプレイなど他人の目に触れる場所に貼らないということは気を付けておきたい。"
34,"近年,様々なサービスが登場しており,目的に応じてサービスを使い分けることが増えてきた。パスワードの管理が面倒だからと複数のサービスでパスワードを使い回すと,あるサービスのアカウント情報が流出してしまった場合に,その情報を使って別のサービスにログインされてしまう可能性があり,そのような攻撃手法が実際に報告されている。"
35,"なお,アカウントの乗っ取りやパスワード流出の事実がない限りは,定期的にパスワードを変更しなくてもよいという考え方もある。定期的なパスワード変更を求められるサービスはこの限りではないが,そのような変更を行うことにより,パスワードの作り方がパターン化し,容易に推測しやすいものを用いてしまう可能性もある。"
36,"サービスによっては,生体認証や二要素認証の導入も進んでいる。生体認証とは,人間の身体的特徴や行動の癖などを用いて行う個人認証技術のことで,指紋や虹彩,静脈などの情報を用いた認証が一般的である。二要素認証とは,知識情報,所持情報,生体情報のうち2つを組み合わせて行う認証のことであり,2段階認証やトークンを用いた認証がある。"
37,"インターネットが普及する前からコンピュータウイルスは存在している。ネットワークが普及する前はフロッピーディスクなどを媒体としていた。1995年の通商産業省(現・経済産業省)による定義では「第三者のプログラムやデータベースに対して意図的に何らかの被害を及ぼすように作られたプログラムであり,『自己伝染機能』『潜伏機能』『発病機能』のうち1つ以上を備えるもの」がコンピュータウイルスである。コンピュータに入りこんで不正行為を行う悪意のあるプログラムのことをマルウェアと呼び,これは広義のコンピュータウイルスに当たる。"
38,"マルウェアはいずれもファイルやシステムに悪い影響を与えたり,データ漏洩の原因になったりすることがある。具体的には以下のようなものがある。"
39,"昨今では,ディスク上に実行ファイルを持たず検知が困難なファイルレスマルウェアやBluetoothの脆弱性をつく新しい攻撃も増加している。マルウェアは日々増え続け,また過去のものも残り続ける。過去のマルウェアの亜種の出現や,海外で流行したマルウェアの国内での流行もあるため,ウイルス対策ソフトウェアを導入し,常にウイルス定義ファイルを最新に保っておく必要がある。"
40,"コンピュータはプログラムで動いている。プログラムには設計ミスなどにより,セキュリティホールが存在することがある。OSやアプリケーションソフトウェアのセキュリティホールなどの不具合を放置しておくと,不正侵入やコンピュータウイルスの侵入を許す危険がある。そのため,OSやソフトウェアも最新の状態に更新しておく必要がある。"
41,"ファイアウォールを導入し,ネットワークへの不正侵入を防ぐことも有効な手段であり,パーソナルファイアウォールを各コンピュータに導入し,コンピュータへの不正侵入を防ぐことも効果的である。"
42,"基本方針では「なぜ情報セキュリティが必要か」をはっきりさせるとともに守るべき情報資産と責任者及び組織体制を明確にする。対策基準は「何を実施しなければならないか」,実施手順は「どのように実施するか」について定めたものである。通常は,基本方針と対策基準をあわせて,セキュリティポリシーといい,組織においては,これらを構成員に周知し,実施手順を含めて組織全体で運用できるように考える必要がある。また,情報セキュリティに関する状況は常に変化するため,情報セキュリティポリシーは常に評価・見直しを続ける必要がある。"
43,"従来,コンピュータウイルスなどはいたずら目的で不特定多数のコンピュータを感染させることが多かったが,ターゲットを絞って感染させる「標的型メール攻撃」が増えている。手口としてはメールの件名や送信者名を偽装し,内部関係者を装ってウイルス添付のメールを送信する方法である。これらは個人情報や技術・機密情報などの知的財産,金銭的利益の取得や破壊行為を目的として行われる。"
44,"組織として,このような怪しいメールは開かない等のルールを決めて守っていく必要があるが,個人としても様々な手法を理解しておく必要がある。 さらに,パスワードなどの重要な情報について情報通信技術を使用せずに盗み出すソーシャルエンジニアリングへの対策も必要になってくる。代表的な手法としては利用者または管理者になりすまして電話でパスワードを聞き出す,パスワードを入力しているところを肩越しに見る(ショルダーハッキング),ごみ箱を漁る(トラッシング)などが挙げられる。"
45,"街中では公衆無線LANが増えてきているが,無線の性質上,通信内容が傍受(盗聴)される危険性があることを理解しておく必要もある。特に,悪意ある第三者が無線LANを設置している場合もあるため,利用時には信頼できるものかどうかの確認が必須である。無線LANの暗号化の方法にも気を付けると良い。古い暗号方式では数秒で暗号が解読されることもあるため,常に最新の暗号方式を利用することが推奨される。"
46,"無線LANアクセスポイントを設置する場合にはMACアドレスによるフィルタリングを設定し,接続できる端末を制限する,SSIDには利用者や組織名を使わずにステルス機能を利用するなど第三者に利用されにくい設定を心がけて利用したい。"
47,"インターネット(Web)は常時暗号化の流れとなっている。httpsで安全に通信できないサイトは利用を控える,ユーザ名・パスワード入力はhttps通信時のみとするということも忘れずに心がけていきたい。"
48,"知的財産権とは,人間の幅広い知的創造活動の成果について,その創作者に一定期間の権利保護を与えるようにした制度である。知的財産権は,申請の必要な産業に関する産業財産権と,申請の必要がない文化や芸術に関する著作権に大きく分けられる。"
49,"情報機器等が普及し,デジタル化が進んだことにより,映像,音楽,イラストや写真,文章など多くの著作物を手軽に利用でき,また複製できるようになった。手軽に利用できるようになったからこそ,知らぬ間に著作権を侵害してしまうことのないように,著作権についてよく理解した上で,著作物を守り活用していく姿勢が求められる。"
50,"著作権法については数年に一度の頻度で 改正 され てい る。文化庁のサイトで常に最新の情報を得てお きた い。ま た,公益社団法人著作権情報センターでも著作権Q&Aを公開している。著作物の扱いについて迷ったときにはこのようなサイトで最新の情報を確認しよう。"
51,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される。これらは,特許庁に出願し,登録することで権利が発生する。なお,権利の性質上,商標権は更新が可能となっている。図のように,身近な情報機器端末のスマートフォンにはたくさんの産業財産権が関係している。"
52,"2003年に成立した「個人情報の保護に関する法律」(以下,「個人情報保護法」という)では,個人情報を以下のように定義している。"
53,"「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ,それによって特定の個人を識別することができることとなるものを含む。),または個人識別符号が含まれるもの。」"
54,"個人情報の例としては,マイナンバーやパスポート番号などの個人識別符号をあげることができる。同姓同名がいない場合は,氏名がわかれば個人を特定することができ,DNA,虹彩,指紋,声紋などの生体情報も個人を識別するものとして利用することができる。"
55,"19世紀末に米国の法律家であるサミュエル・D・ウォーレンスとルイス・D・ブランダイスが,一人にしておいてもらう権利(私生活をみだりに他人の目にさらされない権利)として「プライバシーの権利」を主張した。当時の米国は大衆紙の勃興期であり,人の生活を暴くジャーナリズムの過熱があったとも言われている。その後,プライバシーは人権の観点からも考えられ,保護されるようになった。"
56,"現在の個人情報の扱いの考え方の基本になっているのは,1967年にコロンビア大学のアラン・ウェスティン博士が著書の中で述べた「自己に関する情報をコントロールする権利」であると考えられる。コンピュータが個人の情報を扱うようになると,ヨーロッパの各国では個人データの処理を適切にするために法規制を検討するようになった。OECD(経済協力開発機構)では,「プライバシー保護と個人データの国際流通についてのガイドライン」を理事会によるプライバシーの勧告として公表した。これは,OECDプライバシー8原則ともよばれている。"
57,"日本では,この勧告を受けて法整備が行われ,2003年に個人情報保護法が成立し,2005年に全面施行された。2015年の改正の際に「3年ごとの見直し規定」が設けられて現在に至っている。"
58,"企業や行政機関は,個人情報保護法に定められた個人情報の扱いが義務付けられており,それに反した場合は罰則が定められている。我々は,個人情報を持つ企業や行政機関について,開示,訂正,利用停止等を求めることができる権利が保障されているので,これらを適切に行使して自分の個人情報を適切に保つことができる。"
59,"最近は,SNS等で自分の情報を簡単に発信することができる。公開する情報,非公開にする情報などについて,その影響も考えて適切に管理することが求められる。自分自身が情報を発信しなくても,友人や知人の投稿で自分が一緒にいたことが書かれている場合もある。このような断片的な情報を検索して組み合わせることで本人の名前や住所などの個人情報,趣味・嗜好などがわかる場合もある。特に写真については,位置情報が付いている場合は,それだけで場所が確定し,位置情報が付いていなくても背景などの映り込みから場所が知られてしまう場合もある。"
60,"SNS等で不適切な投稿などが行われた際の社会の反応は厳しさを増している。投稿者の個人情報を調べ上げてネットで公開するなどの過熱した例も一部に見られるなど,問題となっているものもある。不必要な個人情報の公開も含めて情報の発信には十分な配慮が必要である。"
61,"一般的なアプリの使用についても注意が必要である。例えば,情報の公開範囲の設定を間違えると思わぬところに情報が伝わり,トラブルを招く場合がある。適切な情報の公開範囲が設定できない場合は,アプリの使用を取り止める判断も必要である。悪意のあるアプリでは,使用者の知らないうちに個人情報を抜き出して送信するものもある。ダウンロードに際しては信頼できる場所から行うこと,マルウェア対策ソフトをインストールしておくことが必要である。"
62,"個人情報は自分でコントロールしていくものであるため,当然ながら個人データを勝手に第三者に提供したり,提供されたりしてはいけない。グループ会社や子会社への提供も第三者への提供となる。そのような場合には原則としてあらかじめ本人の同意を得なければならない。ただし,次のような場合は例外的に,本人の同意を得なくても個人情報を提供することができる。"
63,"個人情報保護法の改正に伴い,個人情報の扱いも見直されている。"
64,"2015年の改正では,パーソナルデータの利活用を推進するため,本人の同意を得ずにデータの受け渡しが可能となるよう,適切な加工を施した情報を匿名加工情報として新たに定義している。適切な加工とは,特定の個人を識別できないようデータを加工するとともに、元の個人情報への復元を不可能にする加工のことを指す。"
65,"匿名加工情報を活用することにより,具体的には以下のような効果が期待されている。"
66,"法改正前の事例ではあるが,平成19年12月に,埼玉県と本田技研工業(株)は「埼玉県とHondaの道路交通データ提供に関する協定」を締結し,道路を安心して快適に走行できる空間とするためのビッグデータ活用の取り組みを行っている。"
67,"埼玉県は,Hondaが保有する走行速度やカーナビデータの提供を受け,道路の危険箇所を特定し県内で160か所の安全対策を実施した結果,平成23年度までに急ブレーキが約7割,人身事故も約2割減るなど大きな効果が見られた。またHondaは,埼玉県より道路災害情報や路上規制情報などの提供を受け,カーナビのサービス品質の向上に役立てることができる。"
68,"インターネットが発達して以来,パソコンがインターネットを利用する主な手段 であ り,2008年に はお およ そ85 %の家庭にパソコンが 普及 して いた。2004年にmixi(ミク シー)が,2008年にFacebookが日 本でサービスを開始することによって,別々のサービスとして提供されていた,メール(SMS),掲示板,ブログ,チャット等の機能が,一つのSNSの中に統合的に扱われるようになった。それに伴い,インターネット上で個人認証を行うことで,特定の相手と一対一のコミュニケーションを行ったり,また,特定多数とやりとりしたりできるようなサービスが本格的に普及してきたと考えられる。"
69,"しかしながら,当時はインターネットを利用する主な情報機器がパソコンであり,かつ,個人個人でパソコンを持つというよりも,むしろ,1台のパソコンを家族で共有するスタイルが中心であったと考えられるため,SNSは,高校生が頻繁に利用するサービスというよりも,普段から自宅でパソコンを頻繁に利用している大人の層を中心に普及したものと考えられる。"
70,"その後,2010年からスマートフォンが爆発的に普及し,2017年には,スマートフォンの世帯保有率がパソコンを上回る状況になっている。スマートフォンが普及することにより,インターネットを閲覧する場合においても,家に1台のパソコンを家族で一緒に利用する方法から,生徒を含めた各個人が,スマートフォンからインターネットにアクセスすることが一般的になっていると考えられる。このことは,居間にあり家族共用で使っていた電話が,携帯電話の普及によって一人一人が電話を持つようになり,個人が直接やりとりする情報機器に変化した状況とよく似ている。このように,インターネットの利用についても,家族共用で利用されていたものが個人的なものに変化してきたと捉えることもできる。"
71,"2011年にはLINEがサービスを開始,日本でTwitterが普及しはじめるなど,スマートフォンの高校生への普及とともに,SNSは日本の高校生が他の生徒とコミュニケーションを行う上でのインフラとして定着しつつある。2017年の資料によると,10代の電子メール利用率が低く,反面,ソーシャルメディアの利用率が突出していることがわかる。これは,例えば,LINEのサービス1つで,通話もショートメッセージも掲示板の役割も全て無料でカバーできており,特に掲示板の機能では,画像や動画を配信できるだけでなく,感情を表すスタンプなど,効果的なコミュニケーションが行えることなどに起因しているものとも考えられる。"
72,"情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面,情報格差,健康への影響,いじめや犯罪に巻き込まれるなどの負の面も生じていることを理解する。"
73,"スマートフォンなど個人が所有する情報機器の普及はSNSの普及につながり,コミュニケーションの利便性の向上につながっていると考えられる反面,年齢や所得など,個人の技術や社会環境の差により格差(デジタルデバイド)が生じ,新しい情報を手に入れる機会や量が異なることがある。"
74,"総務省の資料によると,2017年で は, 13歳から59歳までの年齢でインターネット利用率が90%を超えている反面,60歳を超えると急速に利用率が下がり,80歳以上では,おおよそ5人に1人しか利用していない。また,所属世帯年収別の利用率では,400万円以上 の世帯が85%以上の利 用率 に対し,200万円未満では54.2%と,おおよそ2人に1人しか利用していないこともわかる。さらに,ソーシャルメディアの利用時間や行為者率(その情報行動を行った人の比率)を見てみても,年々増加傾向にはあるものの,30代を超えると年齢とともに少なくなり,60代ではおおよそ10人に1人程度しかソーシャルメディアを利用していない様子もうかがえる。"
75,"さらに,年齢階層別インターネット利用の目的・用途によると,13 ~ 19歳と60歳以上で対照的な様子がわかる。平成29年情報通信メディアの利用時間と情報行動に関する調査とも照らし合わせてみると,13 ~ 19歳では,ネットの利用時間も長く,多くがSNSをよく利用し,また,動画投稿を楽しむ姿が見られる反面,コミュニケーション手段として電子メールはあまり利用せず,テレビは見るが時間が短く,また,ニュースサイトや新聞はあまり読んでいない様子が見て取れる。情報源として,SNSや動画投稿・共有サイト,友人とのチャットが中心であるように読み取れる。60歳以上は,ネットの利用時間が短くSNSや動画共有サイトはあまり利用していないが,ニュースサイトを閲覧している割合が高く,新聞やテレビを情報源としている様子も読み取れる。年代によって,情報収集やコミュニケーションの様子が異なっているのがわかる。"
76,"また,情報機器の普及は,これらを利用して仕事をしている人に対して,目が疲れたり肩こりが生じたりという身体的な症状や,また,過度に情報機器に依存してしまう不安症などという健康被害(テクノストレス)を生じさせることもある。特に,2018年に発表された内閣府による青少年のインターネット利用環境実態調査の結果によると,平日1日当たり,高校生の53.8%が3時間以上インターネットを利用しており,5時間以上利用している者も26.1%に上るという。利用目的として,上位からコミュニケーション(89.8%),動画視聴(84.9%),音楽試聴(83.3%)と報告されている。いわゆる依存的な状況が大きな問題となっている。"
77,"また,警視庁サイバー犯罪対策プロジェクト2018年の資料によると,スマートフォン所有・利用状況の増加に伴い,SNSに起因する事犯の被害児童数は増加しており,2017年には1,813件となっている。詐欺や悪質商法 に関 する 相談 も67,268件,ネットオークションに関する相談についても5,771件と,高い数字となっている。"
78,"情報社会は光と影の両面を持っている。残念ながら良い点ばかりではなく,問題も生じているのが現実である。しかし,事故が起こるからといって,世の中から電車や自動車を無くそう,ということが現実的ではないのと同じように,問題があるからといって,今からインターネットがない社会に逆戻りすることはできないだろう。そのためにも,光の面は十分に享受するとともに,問題解決の考え方を利用し,問題点を明確にし,具体的な理想を明らかにして分析を進めるとともに,情報や情報技術を効果的に利用しながら,知恵や思考力をもって生徒自身の力で影の面を無くしていく方向に促すことは重要である。」"
79,"電子マネーとは,電子的なデータのやりとりにより,現金の代わりに決済できるサービスをさす場合が多い。 電子マネーは日本銀行が発行する貨幣ではなく,その利用範囲も,発行元である企業やサービス加盟店によって 異なる。"
80,"電子マネーは私たちの生活と密接に関わっている。例えば電車・バスなどの交通機関を利用する際は,交通系ICカー ドなどを利用して電子マネーによる支払いを行うことが多い。また,スーパーマーケット・コンビニエンスストアなどで 買い物をする際は,各店舗に対応したICカードやスマートフォンサービスなどを利用することで,商品の購入を行って いる場合が増えてきている。"
81,"現在のICカードは非接触型ICカードの技術方式を用いたFelicaを利用する方式が普及している。FelicaはIC乗車券や電子マネーの他,学生証や社員証といったIDカード,マンションの電子キーの他,健康機器や家電製品にも搭載が進んでいる。携帯電話,スマートフォンの機能にあるおサイフケータイはこのFeliCaを利用している。"
82,"中国や韓国ではキャッシュレス化が進んでおり,そこではQRコード決済も利用されている。決済方法は, 1.店舗が用意したQRコードを客が読み取る方法 2.客のスマートフォンでQRコードを表示し,店員がそのQRコードを読み取る方法 の2種類がある。"
83,"日本でも,いくつかの企業によってQRコード決済ができるサービスが提供されはじめている。中でも店頭での支払いだけでなく,個人間での送金が可能になっているサービスは,利用者にとっては魅力が大きい。"
84,"新たなQRコード・バーコード決済の普及段階であるため,様々な企業が,このサービスに参入しているところである。"
85,"2018年,一部のコンビニエンスストアでは無人決済の実証実験を都内一部の店舗でスタートした。アプリで商品をスキャンし,決済することでレジに並ばずに買い物ができるサービスである。スマートフォンが普及し,さらにカメラやネットワークが発達したことによる新たな支払い方法の登場である。海 外で は,2018年1月,アメリカ・シアトルにこの方式の1号店がオープンした。利用するにはサービスを提供する会社のアプリをスマートフォンにインストールしておく必要がある。入店時にゲートでQRコードを読み取らせ,欲しい商品を手に携えるか買い物袋に入れ店舗を出るだけで自動的に会計が行われるものであり,たくさんのカメラやセンサとAIを駆使することでレジなし決済を実現した。"
86,"ここ数年,スーパーマーケットなどでセルフレジが急速に普及してきている。郊外にある大型のスーパーマーケットなどで導入されていることが多いため,都道府県を問わず認知度も非常に高い。東北地方では,設置率がほかの地域に比べて高いことがわかる。これは東日本大震災後の人手不足を背景にレジ係の人材不足を解消できるためともいわれている。なおかつ人件費を抑えることができるため衣料品店などでも導入されている。"
87,"セルフレジは大別すると,セミセルフレジと完全セルフレジ(フルセルフレジ)に分類される。セミセルフレジとはレジ係が商品のバーコードをスキャンしてくれ,支払いだけ精算機で行うレジのことで,完全セルフレジとはバーコードの読み取りから支払いまでを自分で行うレジのことである。青果などのバーコードがない商品を扱うスーパーマーケットではセミセルフレジの方が,すべての商品にバーコードがある店舗には完全セルフレジが導入されている傾向がある。完全セルフレジの場合には複数のレジを一人のスタッフで対応できるメリットがある反面,利用者にとっては慣れないと難しく購入をあきらめてしまう可能性もある。セミセルフレジの場合には,精算をレジ係が行わないためレジを待つ時間が短く済み,支払いも比較的スムーズに行われている。さらに,店員が現金を扱わなくてよいため売り上げと客の支払いのずれがなくてすむメリットもある。これから生産年齢人口が減ることを考えると,セミセルフレジと完全セルフレジの導入を増やすとともに,それらの共存を目指す必要があると考えられる。"
88,"平成30年度食料・農業・農村白書によると,農業の担い手の減少,農業就業者の高齢化が急速に進行している。農林水産省の農業労働力に関する統計によると,2017年の農業就業人口は181.6万人で,平均年齢は66.7歳,うち65歳以上が6割以上を占める。そこで,農林水産省ではIoTや人工知能といった先端技術を農業に生かした「スマート農業」を実現するために「スマート農業の実現に向けた研究会」を設置,検討・実験を進めている。現時点での方向性は次の5つである。"
89,"ロボットといえばソフトバンクの「Pepper」が有名で,様々な場所に導入されてきた。他にもトヨタ「KIROBO mini(キロボミニ)」,ソニー「AIBO(アイボ)」といったAIを搭載したロボットが発売されている。厚生労働省は,介護の分野にもロボット技術を活かすべく開発・導入を支援している。そこでは,リハビリや自立支援を目的としてコミュニケーション型ロボット,移動支援の歩行アシストカートなどが開発されている。介護する側の手助けをするパワーアシストスーツなどもある。これらはセンサの発達,モーターなどの細かい制御が可能となったために実用段階に入ってきた。"
90,"「いつでも,どこでも,何でも,誰でも」ネットワークにつながる「ユビキタスネットワーク社会」は2000年代前半から構想されてきたが,パソコンやスマートフォン,タブレットといったICT端末だけでなく,センサとコンピュータが組み込まれた様々な「モノ」が無線通信を介してインターネットに接続されるようになり,「モノのインターネット」つまりIoT(Internet of Things)というキーワードで表現されるようになった。実際に,インターネットを経由して,スマートフォンから動作をコントロールしたり状況を確認したりすることが可能となる家電が続々と登場している。"
91,"製造,流通,通信・運輸,金融,住宅・建設,医療,そして教育など様々な分野において,モノがインターネットにつながることにより膨大なデータが収集できるようになった。これらのデータを統計学や言語学といった科学的手法により分析することで,多くのことが分かるようになった。これらのデータを利用して,データ相互の関係や有用な知見を見いだすことなどをデータマイニングと呼ぶ。"
92,"ポイントカードによる購買記録や交通系ICカードによる行動履歴等のデータを収集・分析することによりマーケティングデータに生かそうという取り組みはすでに行われている。ただし,このように収集したデータを利用する際は,個人が特定できないように処理するなど,プライバシーに配慮する必要がある。2017年5月に施行された改正個人情報保護法では,匿名加工情報が新たに導入され,個人を識別できないように加工した上でのデータの利活用を促進している。"
93,"AppleのiPhoneに搭載されているSiriやAndroidのスマートフォンに搭載されているGoogle AssistantやGoogle Home,Amazon Echoといったスマートスピーカーが安価に購入できるなど,人工知能(AI)が身近になってきている。AIは第二次世界大戦後から研究が進められているものの,まだ発展途上である。しかし,コンピュータの性能が向上し,さらに人工知能に関する研究が進むことで,図表11のようなことがこれから実現するといわれている。"
